support,itemsets
0.06606731851851852,frozenset({'上衣'})
0.14283342222222223,frozenset({'云闪付'})
0.14269925925925925,frozenset({'信用卡'})
0.07072758518518518,frozenset({'健身器材'})
0.14290074074074074,frozenset({'储蓄卡'})
0.07005404444444445,frozenset({'儿童课外读物'})
0.07007277037037037,frozenset({'内衣'})
0.06585777777777778,frozenset({'办公用品'})
0.0739405037037037,frozenset({'卫浴用品'})
0.06633564444444444,frozenset({'厨具'})
0.07568734814814815,frozenset({'围巾'})
0.06973072592592593,frozenset({'外套'})
0.06914216296296297,frozenset({'婴儿用品'})
0.06866145185185185,frozenset({'家具'})
0.06900432592592592,frozenset({'帽子'})
0.06889505185185185,frozenset({'平板电脑'})
0.06716586666666667,frozenset({'床上用品'})
0.14278968888888888,frozenset({'微信支付'})
0.06667543703703703,frozenset({'户外装备'})
0.06729813333333333,frozenset({'手套'})
0.0623104,frozenset({'摄像机'})
0.14293677037037036,frozenset({'支付宝'})
0.07542091851851852,frozenset({'文具'})
0.07290631111111111,frozenset({'智能手机'})
0.07040651851851852,frozenset({'智能手表'})
0.07598245925925926,frozenset({'模型'})
0.06570785185185185,frozenset({'水产'})
0.07371887407407407,frozenset({'水果'})
0.06629819259259259,frozenset({'汽车装饰'})
0.07108017777777778,frozenset({'游戏机'})
0.06686518518518518,frozenset({'玩具'})
0.14299413333333333,frozenset({'现金'})
0.0709581037037037,frozenset({'益智玩具'})
0.0688602074074074,frozenset({'相机'})
0.07061037037037037,frozenset({'笔记本电脑'})
0.06774874074074073,frozenset({'米面'})
0.07120462222222222,frozenset({'耳机'})
0.06885297777777778,frozenset({'肉类'})
0.06735917037037037,frozenset({'蔬菜'})
0.066896,frozenset({'蛋奶'})
0.0723160888888889,frozenset({'裙子'})
0.07111253333333334,frozenset({'裤子'})
0.06462494814814815,frozenset({'调味品'})
0.06887407407407407,frozenset({'车载电子'})
0.14284598518518518,frozenset({'银联'})
0.07201860740740741,frozenset({'零食'})
0.06323425185185186,frozenset({'鞋子'})
0.0631410962962963,frozenset({'音响'})
0.07322074074074074,frozenset({'饮料'})
0.010108207407407407,"frozenset({'健身器材', '云闪付'})"
0.010043851851851852,"frozenset({'儿童课外读物', '云闪付'})"
0.010546725925925926,"frozenset({'云闪付', '卫浴用品'})"
0.010797392592592592,"frozenset({'围巾', '云闪付'})"
0.010720948148148148,"frozenset({'云闪付', '文具'})"
0.010394074074074075,"frozenset({'智能手机', '云闪付'})"
0.01009754074074074,"frozenset({'智能手表', '云闪付'})"
0.010847644444444445,"frozenset({'模型', '云闪付'})"
0.01049671111111111,"frozenset({'云闪付', '水果'})"
0.01016628148148148,"frozenset({'游戏机', '云闪付'})"
0.010089125925925925,"frozenset({'益智玩具', '云闪付'})"
0.010072177777777778,"frozenset({'笔记本电脑', '云闪付'})"
0.010156325925925925,"frozenset({'云闪付', '耳机'})"
0.010332325925925926,"frozenset({'云闪付', '裙子'})"
0.01017434074074074,"frozenset({'裤子', '云闪付'})"
0.010262755555555555,"frozenset({'云闪付', '零食'})"
0.01047122962962963,"frozenset({'云闪付', '饮料'})"
0.010104533333333334,"frozenset({'健身器材', '信用卡'})"
0.010535111111111111,"frozenset({'信用卡', '卫浴用品'})"
0.010841125925925926,"frozenset({'围巾', '信用卡'})"
0.010751051851851852,"frozenset({'信用卡', '文具'})"
0.010445155555555556,"frozenset({'智能手机', '信用卡'})"
0.010835081481481481,"frozenset({'模型', '信用卡'})"
0.010589748148148148,"frozenset({'信用卡', '水果'})"
0.010090666666666666,"frozenset({'游戏机', '信用卡'})"
0.010135348148148149,"frozenset({'益智玩具', '信用卡'})"
