support,itemsets
0.06610356309639871,frozenset({'上衣'})
0.07075784454280344,frozenset({'健身器材'})
0.07001781094790978,frozenset({'儿童课外读物'})
0.070060306870346,frozenset({'内衣'})
0.06585569985005518,frozenset({'办公用品'})
0.073998914309195,frozenset({'卫浴用品'})
0.06635960547425716,frozenset({'厨具'})
0.0756969731345757,frozenset({'围巾'})
0.06978648377180294,frozenset({'外套'})
0.06922354615492804,frozenset({'婴儿用品'})
0.0686534962497793,frozenset({'家具'})
0.06898243958244467,frozenset({'帽子'})
0.06883183687824598,frozenset({'平板电脑'})
0.06724810808686736,frozenset({'床上用品'})
0.06678403127699892,frozenset({'户外装备'})
0.06722588218601158,frozenset({'手套'})
0.0621864703295781,frozenset({'摄像机'})
0.0754195938918957,frozenset({'文具'})
0.07290646683033228,frozenset({'智能手机'})
0.07050037970729021,frozenset({'智能手表'})
0.0760175595285193,frozenset({'模型'})
0.06569069476210196,frozenset({'水产'})
0.07373967140161332,frozenset({'水果'})
0.06630164032482531,frozenset({'汽车装饰'})
0.07117924762302881,frozenset({'游戏机'})
0.06679950050399452,frozenset({'玩具'})
0.07088302081642313,frozenset({'益智玩具'})
0.06889833677360645,frozenset({'相机'})
0.07061133140436221,frozenset({'笔记本电脑'})
0.06769849374180864,frozenset({'米面'})
0.07117604709330558,frozenset({'耳机'})
0.0688423275034499,frozenset({'肉类'})
0.06739835517665235,frozenset({'蔬菜'})
0.06685853249666744,frozenset({'蛋奶'})
0.07238584732868676,frozenset({'裙子'})
0.07109176647726051,frozenset({'裤子'})
0.06462580740030038,frozenset({'调味品'})
0.0688981589663996,frozenset({'车载电子'})
0.07201120754386192,frozenset({'零食'})
0.06329972125164182,frozenset({'鞋子'})
0.06315818671499229,frozenset({'音响'})
0.07319522573425041,frozenset({'饮料'})
0.0050523917825332516,"frozenset({'围巾', '卫浴用品'})"
0.005002072342995792,"frozenset({'卫浴用品', '文具'})"
0.005066794166287789,"frozenset({'模型', '卫浴用品'})"
0.0051724116471544,"frozenset({'围巾', '文具'})"
0.005116224569791018,"frozenset({'模型', '围巾'})"
0.005006873137580638,"frozenset({'围巾', '水果'})"
0.005160854178709401,"frozenset({'模型', '文具'})"
0.00502892123122956,"frozenset({'水果', '文具'})"
0.005033010796987022,"frozenset({'模型', '水果'})"
