A,B,count
智能手机,模型,11801
文具,模型,11647
围巾,模型,11646
围巾,文具,11596
卫浴用品,模型,11555
文具,文具,11539
模型,模型,11511
围巾,益智玩具,11507
文具,零食,11493
水果,模型,11488
智能手机,文具,11462
智能手机,益智玩具,11448
围巾,围巾,11445
智能手表,模型,11427
裙子,模型,11422
饮料,模型,11418
模型,文具,11396
智能手机,围巾,11388
游戏机,模型,11382
外套,模型,11382
水果,围巾,11370
文具,益智玩具,11336
水果,文具,11332
智能手机,零食,11323
文具,围巾,11317
智能手机,卫浴用品,11235
裙子,文具,11224
模型,益智玩具,11203
裙子,围巾,11201
围巾,耳机,11185
文具,水果,11181
饮料,文具,11181
肉类,模型,11172
模型,零食,11172
围巾,零食,11168
围巾,卫浴用品,11159
智能手机,水果,11155
围巾,裤子,11149
笔记本电脑,模型,11139
智能手机,裤子,11134
裤子,模型,11125
水果,卫浴用品,11116
零食,模型,11113
文具,卫浴用品,11108
智能手表,文具,11092
水果,零食,11085
智能手机,耳机,11083
智能手机,饮料,11080
水果,耳机,11076
耳机,模型,11074
饮料,围巾,11055
卫浴用品,文具,11050
水果,益智玩具,11049
卫浴用品,零食,11045
模型,家具,11036
智能手机,家具,11036
文具,家具,11033
卫浴用品,围巾,11023
水果,饮料,11016
卫浴用品,裤子,11012
模型,耳机,10991
游戏机,文具,10987
卫浴用品,卫浴用品,10967
卫浴用品,益智玩具,10960
围巾,家具,10959
外套,益智玩具,10950
游戏机,零食,10948
外套,文具,10948
裙子,饮料,10947
帽子,模型,10946
饮料,益智玩具,10945
裙子,卫浴用品,10944
裙子,益智玩具,10943
模型,围巾,10941
智能手表,围巾,10937
文具,耳机,10925
文具,婴儿用品,10921
饮料,卫浴用品,10919
裙子,裤子,10909
游戏机,围巾,10904
围巾,饮料,10903
文具,饮料,10879
水果,裤子,10877
模型,水果,10864
围巾,水果,10854
儿童课外读物,模型,10851
智能手机,智能手机,10848
智能手表,卫浴用品,10841
水果,水果,10839
水果,智能手机,10835
饮料,水果,10831
相机,模型,10826
游戏机,益智玩具,10823
内衣,模型,10822
文具,裤子,10817
外套,围巾,10816
智能手表,水果,10813
卫浴用品,婴儿用品,10813
文具,智能手机,10803
外套,零食,10803
智能手表,益智玩具,10801
围巾,健身器材,10800
模型,裤子,10799
模型,卫浴用品,10797
零食,零食,10797
水果,婴儿用品,10790
饮料,零食,10780
零食,围巾,10777
围巾,婴儿用品,10775
智能手表,耳机,10770
智能手机,健身器材,10766
外套,卫浴用品,10759
米面,模型,10759
文具,游戏机,10758
肉类,文具,10758
智能手表,零食,10758
裙子,水果,10754
模型,婴儿用品,10744
卫浴用品,智能手机,10740
围巾,游戏机,10740
饮料,裤子,10739
智能手机,游戏机,10731
笔记本电脑,文具,10727
裙子,婴儿用品,10726
游戏机,家具,10724
裙子,耳机,10723
饮料,饮料,10723
卫浴用品,饮料,10719
帽子,围巾,10719
文具,健身器材,10711
游戏机,卫浴用品,10710
水果,家具,10707
帽子,文具,10706
肉类,益智玩具,10705
智能手表,裤子,10703
裤子,围巾,10693
饮料,耳机,10690
智能手表,游戏机,10688
卫浴用品,耳机,10685
文具,相机,10682
卫浴用品,水果,10682
零食,益智玩具,10680
裙子,零食,10679
裤子,文具,10668
围巾,智能手机,10667
外套,智能手机,10666
智能手表,智能手机,10666
智能手机,内衣,10656
肉类,围巾,10655
饮料,智能手机,10655
益智玩具,模型,10654
文具,内衣,10646
外套,耳机,10644
零食,文具,10635
模型,游戏机,10635
水果,游戏机,10635
裙子,家具,10633
围巾,相机,10632
车载电子,模型,10628
智能手机,米面,10626
卫浴用品,家具,10620
耳机,益智玩具,10620
围巾,玩具,10619
内衣,围巾,10618
模型,饮料,10616
围巾,内衣,10615
游戏机,耳机,10613
围巾,裙子,10611
智能手表,婴儿用品,10610
卫浴用品,游戏机,10603
水果,相机,10600
裤子,益智玩具,10600
智能手机,婴儿用品,10596
模型,智能手机,10591
健身器材,模型,10591
笔记本电脑,卫浴用品,10590
裤子,裤子,10586
裙子,智能手机,10586
外套,裤子,10585
围巾,笔记本电脑,10577
裙子,游戏机,10571
外套,饮料,10568
儿童课外读物,文具,10566
文具,米面,10565
健身器材,围巾,10562
游戏机,水果,10561
肉类,卫浴用品,10560
模型,健身器材,10559
围巾,米面,10556
智能手表,家具,10556
围巾,床上用品,10555
手套,文具,10552
围巾,肉类,10551
智能手机,相机,10545
饮料,游戏机,10537
水果,裙子,10533
游戏机,饮料,10527
围巾,外套,10524
智能手机,汽车装饰,10521
游戏机,智能手机,10519
内衣,益智玩具,10515
饮料,相机,10514
文具,蛋奶,10509
饮料,家具,10508
模型,内衣,10505
零食,卫浴用品,10501
笔记本电脑,围巾,10497
蛋奶,模型,10495
智能手机,外套,10494
车载电子,文具,10491
智能手机,床上用品,10491
肉类,耳机,10486
儿童课外读物,围巾,10485
围巾,平板电脑,10476
饮料,婴儿用品,10470
外套,水果,10470
耳机,文具,10464
笔记本电脑,益智玩具,10462
裙子,裙子,10461
卫浴用品,内衣,10461
零食,水果,10459
饮料,内衣,10459
外套,家具,10457
内衣,文具,10455
游戏机,内衣,10453
智能手机,肉类,10453
文具,外套,10452
智能手机,笔记本电脑,10449
健身器材,文具,10447
智能手表,饮料,10444
帽子,智能手机,10443
裙子,肉类,10440
水果,内衣,10439
平板电脑,模型,10437
水果,米面,10437
饮料,健身器材,10437
围巾,汽车装饰,10437
相机,益智玩具,10435
裙子,相机,10435
智能手表,健身器材,10433
卫浴用品,健身器材,10431
围巾,蛋奶,10431
饮料,裙子,10427
肉类,零食,10425
零食,家具,10422
外套,相机,10420
游戏机,健身器材,10418
文具,肉类,10417
智能手机,儿童课外读物,10415
卫浴用品,相机,10414
围巾,蔬菜,10414
卫浴用品,裙子,10411
手套,模型,10410
文具,笔记本电脑,10410
上衣,模型,10409
玩具,模型,10407
智能手机,裙子,10407
文具,车载电子,10404
文具,裙子,10401
零食,耳机,10400
相机,文具,10393
模型,相机,10388
肉类,裤子,10388
外套,婴儿用品,10386
智能手表,相机,10386
米面,益智玩具,10385
零食,裤子,10380
文具,平板电脑,10378
帽子,益智玩具,10376
裤子,耳机,10375
围巾,儿童课外读物,10374
帽子,卫浴用品,10372
游戏机,裤子,10372
汽车装饰,模型,10366
耳机,零食,10364
水果,健身器材,10361
家具,模型,10360
模型,笔记本电脑,10357
车载电子,裤子,10353
健身器材,水果,10350
帽子,耳机,10340
智能手表,裙子,10338
围巾,智能手表,10338
水果,肉类,10336
帽子,零食,10334
智能手表,内衣,10332
模型,米面,10332
儿童课外读物,益智玩具,10330
健身器材,益智玩具,10329
围巾,厨具,10321
智能手机,平板电脑,10319
水果,儿童课外读物,10316
手套,益智玩具,10314
零食,婴儿用品,10312
文具,床上用品,10309
肉类,水果,10305
文具,儿童课外读物,10305
裤子,智能手机,10304
卫浴用品,蛋奶,10304
手套,围巾,10304
车载电子,围巾,10303
智能手表,外套,10302
智能手表,米面,10301
模型,裙子,10294
裙子,蛋奶,10294
水果,床上用品,10294
模型,床上用品,10290
裤子,卫浴用品,10288
平板电脑,文具,10287
智能手机,蔬菜,10286
水果,蛋奶,10286
儿童课外读物,水果,10285
外套,内衣,10284
水果,蔬菜,10279
卫浴用品,米面,10277
智能手机,车载电子,10274
裤子,婴儿用品,10274
智能手机,蛋奶,10272
肉类,家具,10269
车载电子,益智玩具,10269
帽子,裤子,10268
饮料,米面,10266
车载电子,零食,10265
裤子,零食,10264
笔记本电脑,饮料,10262
肉类,饮料,10262
床上用品,模型,10260
笔记本电脑,零食,10260
耳机,围巾,10257
游戏机,游戏机,10253
水果,笔记本电脑,10252
相机,围巾,10250
饮料,笔记本电脑,10249
游戏机,婴儿用品,10247
儿童课外读物,卫浴用品,10247
车载电子,家具,10246
水果,平板电脑,10245
智能手机,帽子,10240
游戏机,相机,10232
卫浴用品,肉类,10231
智能手机,玩具,10230
零食,饮料,10228
智能手机,厨具,10227
模型,儿童课外读物,10226
文具,汽车装饰,10225
文具,厨具,10224
米面,文具,10221
饮料,床上用品,10221
裙子,外套,10221
笔记本电脑,裙子,10220
围巾,车载电子,10220
水果,车载电子,10218
游戏机,肉类,10217
裙子,内衣,10216
卫浴用品,儿童课外读物,10215
车载电子,耳机,10214
游戏机,裙子,10213
裙子,米面,10212
智能手表,蛋奶,10210
内衣,零食,10208
笔记本电脑,智能手机,10207
儿童课外读物,智能手机,10207
文具,帽子,10201
卫浴用品,厨具,10199
肉类,智能手机,10197
相机,零食,10196
儿童课外读物,饮料,10196
婴儿用品,模型,10195
益智玩具,文具,10193
内衣,卫浴用品,10192
耳机,耳机,10187
水果,外套,10183
外套,肉类,10176
